ALL INPUT IS WELCOME - THANK YOU,,,,,,
RANK,LEMMA,PoS,GERMANIC,GERMANIC-LIKE,DETAILS,
509,`fine,adj,"good, all well and good",,"[G1] He didn't do it, which is fine → He didn't do it, which is all well and good",
518,`record,n,log,,,
519,`especially,adv,"even more (so), more (so) than anything/anyone/anybody (else), most of all, least of all, more so, so, as, no less, much less",,"[G1] You must all be careful, especially now → You must be careful, even more so now
[G2] You must all be careful, especially John → You must be careful, most of all John
[G3] You must all be careful, especially with John → You must be careful, even more (so) with John
[G4] Nobody needs to be told that, especially John → Nobody needs to be told that, least of all John
[G5] He isn't especially well-known → He isn't as/that/so well-known
[G6] There shouldn't be any cars there, especially one of that size → There shouldn't be any cars there, much less one of this size",
520,`difference,n,what makes one stand out,what sets smn apart (from smn),"[G1] There's a big difference between the two → There's a big gap between the two
[G2] It doesn't make a difference to me → It's (all) the same to me",MORE
529,`price,n,"worth, fee",,,
530,`effort,n,"work, legwork, bid, time",,"[G1] This isn't worth the effort → This isn't worthwhile/worth our while
[G2] You'll need to put a lot of effort into it → You'll need to put a lot of time/work into it
[G3] This the mayor's latest effort to rebuild the town → This the mayor's latest bid to rebuild the town
[G4] Our effort to win them back is working → Our bid to win them back is working
[G5] Make an effort to listen sometimes → Do your best/utmost to listen sometimes
[S] attempt
[S|G5] try, strive",
532,`quite,adv,,,"[G1] He's playing quite well → He's playing rather well
[S|G1] very",
535,`finally,interj,(it's) about time,,,
535,`finally,adv,"at last, lastly, last of all",in closing,"[S] in conclusion, eventually",
545,`return,vb,"[D1|go back, turn back] back up, bounce back, come again, go back, come back, get back, go again, hark back to, reel back [D2|give back, send back] bestow, give, hand back, put back, send, take back, bring back, thrust back, toss back [D3|earn] bring in, make, yield",turn,,
546,`position,n,"where one is (at), whereabouts","place, post","[G1] I wanted to wait until I was in a position where I could talk to my family about who I was → I wanted to wait until I was ready to talk to my family about who I was
[G2] We are in a tough position → We are in a tough spot → We are in a bind",
552,`type,n,kind,sort,,MERGE WITH CATEGORY?
554,`article,n,"1) thing, tool, ware, 2) leader, write-up, 3) (in treaty or charter) heading, rider",,,
557,`chance,n,"[D1|the uncertain course of events] luck, hap [D2|a favorable combination of circumstances] go, shot, window, opening, break, room [D3|a measure of how often something will happen] odds, likelihood, glimmer",,"[G1] The more you play, the higher your chances of winning → The more you play, the higher the likelihood/your odds of winning
[G2] There is at least a chance that it will work → There is at least a glimmer that it will work
[G3] Not many of us have the chance to do that → Not many of us get to do that
[G4] Why not give him another chance? → Why not give him another go/shot?
[G5] There's still a chance you might mess up → There's still room to mess up
[G6] Tell him when you get the chance → Tell him when you have/find (some) time → Tell him when you can
[G7] Nothing happens by chance → Nothing happens by mistake
[G8] This could be an chance for us to start anew → This could be an outlet for us to start anew → This could be a way for us to start anew
[G9] I'll take my chances on that one → I'll take my odds on that one → I'll follow my gut on that one → I like my odds/think my odds are good
[S] opportunity",
560,`situation,n,"deal, goings-on, spot, standing",,"[G1] Their financial situation is questionable → Their financial standing is questionable
[G2] We are in the same situation health-wise → We are in the same boat health-wise
[G3] The government responded to the situation in Iraq → The government responded to what's going on/happening in Iraq
[G4] I wanted to wait until I was in a situation/place where I could talk to my family about who I was → I wanted to wait until I was ready to talk to my family about who I was
[G5] We are in a tough situation → We are in a tough spot → We are in a bind
[S] place",
563,`cause,vb,"bring, bring (up)on, bring (up)on oneself, bring about, bring forth, lead to, make, give rise to, stem from, spring from, come from, begin, draw out, open up, spark off, be at the bottom/root of",,,
569,`develop,vb,"[D1|to create] make, come up with [D2|to gradually become clearer or more detailed] unfold, unravel, grow, ripen, play out, get along, get on, blossom, fare, shake out, shape out [D3|to come to have gradually] take in, take on, gain, get, reach, foster [D4|to become mature] grow, grow up, ripen [D5|to express more fully and in greater detail] flesh out",,,
575,`matter,n,thing,,"[G1] I'll take matters into my own hands → I'll take things into my own hands
[G2] What's the matter (with you)? → What's wrong (with you)?
[G3] What's the matter with him? → What's the deal with him? → What's going on with him?
[G4] To make matters worse → To make things worse → What's worse → Worse still
[S] a matter of, no matter",
575.1,`a matter of,phr,"[D1|a small period of time] no more than, only, within [D2|a thing that involves or depends on] (all) about",just,"[G1] It was taken care of in a matter of a few days → It was taken care of in/within a few days
[G2] It's a matter of knowing how to get things done → It's (all) about knowing how to get things done
[S] matter",
575.2,`no matter,prep,,,"[G1] He's going to play no matter what → He's going to play either way
[G2] He's going to play no matter the risk → He's going to play, whatever the risk (may be)
[G3] No matter how much he wants it → However much he wants it
[G4] No matter what happens later → Never mind what happens later
[S] regardless",
599,`realize,vb,"[D1|to come to an awareness of] understand, find (out), see, dawn on, come to (know), become aware of, see the light, wake up to, get wind of, bear in on/upon, hit smn, become wise to sth [D2|to bring into existence] bring about/off, fulfill, see through, give rise to, make sth come true",,"[G1] And then I realized that I could fly → And then it came to me that I could fly → And then I found (out) that I could fly → And then it hit me that I could fly
[G2] I realize that I made a mistake → I understand/know that I made a mistake → I see now that I made a mistake
[G3] But then I realized the scope of the project → But then the scope of the project hit me
[G4] Without realizing it, ... → Without knowing it, ...
[S] discover, notice",FIX FIRST EXAMPLE
606,`term,n,,,"[S] come to terms with, in terms of",
606.1,`come to terms with,vb,"get over, come to grips with, live with, learn to live with",,"[G1] She will never come to terms with her loss → She will never get over her loss → She will never come to grips with her loss
[S] accept",
606.2,`in terms of,prep,,,[S] regarding,
640,`available,adj,"at hand, out there, on hand, ready, in stock, up for grabs, up for sale, handy, before one's eyes, within reach, under the hammer",,[G1] Learn more about the available options → Learn more about the options out there → Learn more about our/your options,
650,`current,adj,,,[G1] The current president → The siting president → The president,
